	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	AAL	16.28	54.1	14.19	19.76	-2.28	0.56
1	HST	18.18	52.24	5.48	6.62	-1.46	0.44
2	BEN	30.92	54.0	5.56	3.67	0.29	1.02
3	BAC	35.58	54.45	32.89	34.85	-0.39	0.76
4	DAL	38.17	50.15	8.19	7.5	-2.15	0.95
5	HWM	40.52	55.37	2.98	2.08	0.17	0.85
6	FCX	42.36	46.3	8.03	10.6	-1.35	1.69
7	CFG	43.12	55.05	2.71	2.9	-0.12	1.01
8	C	50.11	50.49	16.52	16.12	0.26	1.18
9	TAP	51.44	47.83	0.9	1.77	0.43	1.25
10	BRO	58.25	46.6	0.76	1.08	-0.1	1.37
11	JCI	64.59	43.35	2.23	3.67	-0.15	1.75
12	FTV	68.13	54.87	1.08	2.5	-0.13	1.81
13	TXT	73.78	56.52	1.17	1.16	-0.14	1.83
14	DD	75.81	58.26	1.98	4.09	0.07	1.87
15	ON	83.8	68.49	6.68	11.01	-1.12	3.55
16	EMN	86.91	45.81	0.67	1.05	-0.08	2.64
17	PRU	103.03	53.91	1.31	2.22	0.06	2.77
18	APTV	112.8	60.24	2.39	1.57	-2.77	3.69
19	AMAT	114.77	53.21	4.37	5.68	-1.13	4.38
20	DFS	115.0	57.95	2.01	2.16	0.41	3.61
21	ROST	115.18	44.82	1.37	2.64	0.14	2.35
22	CE	119.88	52.16	0.54	0.66	-0.31	3.34
23	J	121.7	46.29	0.54	1.0	-0.12	2.93
24	PLD	128.09	56.39	2.3	2.79	0.04	3.7
25	PKG	139.92	56.13	0.55	0.68	-0.13	3.63
26	ECL	146.02	41.14	1.41	1.19	0.17	3.73
27	CMI	246.92	49.62	0.84	0.87	0.31	5.99
28	SYK	264.34	53.61	1.06	1.54	-0.01	7.07
29	ALB	268.29	53.41	1.39	1.28	0.34	10.08
30	ROK	285.18	56.52	0.55	0.57	-0.88	8.12
31	LIN	332.04	53.69	2.52	3.41	-0.16	7.25
32	EPAM	356.49	52.44	0.32	0.4	-2.45	14.96
33	MA	366.83	47.25	2.27	2.32	-0.97	8.71
34	POOL	369.24	51.63	0.6	0.57	-2.05	13.38
35	INTU	413.52	51.01	1.0	1.35	-1.48	15.68
36	COST	499.99	52.32	1.54	1.82	-0.13	10.29
37	MSCI	549.33	60.36	0.41	0.46	-1.13	16.7
38	GWW	656.49	67.99	0.39	0.34	-0.7	18.24
