	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	MRO	27.75	54.35	10.71	10.16	6.2	1.18
1	EQT	31.67	44.43	8.8	7.49	3.84	1.37
2	HAL	39.02	48.11	8.12	9.39	3.61	1.48
3	APA	43.56	49.41	7.83	5.85	6.11	1.7
4	CSCO	47.26	45.39	17.4	17.23	1.13	0.96
5	TFC	48.38	53.47	5.36	5.2	0.94	1.33
6	LNT	53.23	44.71	1.16	1.25	2.25	1.2
7	NDAQ	59.62	44.32	2.04	1.81	1.09	1.52
8	DVN	63.54	52.9	8.69	7.13	5.37	1.99
9	OXY	65.63	54.38	13.51	11.4	3.84	2.21
10	MET	71.4	49.66	3.02	4.34	0.86	1.68
11	PNW	74.09	46.58	0.69	0.83	2.73	1.62
12	HIG	77.21	56.38	1.27	2.02	1.17	1.58
13	INCY	79.26	39.01	2.26	2.38	-2.44	1.8
14	CEG	86.81	54.99	1.35	1.86	2.83	2.33
15	ED	92.36	42.4	1.37	1.48	2.41	1.75
16	WEC	93.27	48.4	1.35	1.28	2.58	1.9
17	MS	98.44	63.31	5.22	5.29	0.4	2.77
18	DHI	98.59	57.15	2.39	2.85	0.9	2.79
19	RTX	100.61	58.19	5.29	4.07	2.82	2.46
20	LDOS	100.82	55.98	0.84	0.65	2.93	1.69
21	ETR	105.79	43.06	0.76	1.4	2.3	2.27
22	SBUX	107.09	54.65	6.29	7.79	0.98	2.08
23	PSX	107.38	58.26	3.0	3.28	5.16	3.55
24	COP	115.06	48.56	10.77	8.97	4.67	3.9
25	ATO	116.25	52.12	0.68	0.85	1.44	2.52
26	MPC	126.79	57.06	3.47	3.72	5.01	4.88
27	RSG	127.36	56.65	1.85	1.41	1.53	2.08
28	HES	146.59	51.43	1.5	1.55	4.23	4.83
29	MTB	159.02	59.91	0.84	1.49	0.78	3.87
30	ABC	159.03	45.49	1.31	1.33	2.59	3.27
31	PXD	231.39	52.47	2.49	2.08	4.55	6.37
32	NSC	242.61	44.6	1.19	1.04	1.52	6.99
33	WTW	244.7	43.06	0.64	0.77	2.4	5.22
34	DE	417.79	49.69	1.36	1.46	2.4	9.76
35	NOC	463.86	48.39	0.97	1.14	2.21	14.0
36	BIO	471.18	57.58	0.17	0.1	1.16	13.96
