	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	BAC	35.58	54.45	32.89	34.85	-0.39	0.76
1	VZ	40.01	45.55	15.4	17.42	0.5	1.43
2	BRO	58.25	46.6	0.76	1.08	-0.1	1.37
3	JCI	64.59	43.35	2.23	3.67	-0.15	1.75
4	FTV	68.13	54.87	1.08	2.5	-0.13	1.81
5	TXT	73.78	56.52	1.17	1.16	-0.14	1.83
6	ON	83.8	68.49	6.68	11.01	-1.12	3.55
7	AMAT	114.77	53.21	4.37	5.68	-1.13	4.38
8	PKG	139.92	56.13	0.55	0.68	-0.13	3.63
9	RE	379.48	70.06	0.31	0.39	0.27	10.93
10	MSCI	549.33	60.36	0.41	0.46	-1.13	16.7
11	GWW	656.49	67.99	0.39	0.34	-0.7	18.24
