	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	LUMN	3.96	28.28	34.66	64.01	-1.0	0.38
1	WBD	14.22	55.41	11.84	16.49	-1.04	0.69
2	HBAN	15.23	57.9	7.7	10.99	-0.2	0.33
3	KEY	19.44	58.17	7.78	8.92	-0.56	0.58
4	PARA	21.59	49.86	7.74	9.02	-0.92	1.06
5	VFC	26.27	34.03	13.74	12.02	0.92	1.5
6	DXC	28.9	53.99	1.1	1.96	-0.86	0.91
7	OGN	29.02	42.4	1.42	1.04	-0.14	0.66
8	FOX	33.2	69.75	0.98	1.54	-0.03	0.79
9	WY	33.64	53.43	3.95	4.54	-0.5	0.86
10	LUV	34.57	40.4	4.81	5.2	-0.8	1.06
11	BAC	35.58	54.45	32.89	34.85	-0.39	0.76
12	FOXA	35.81	71.33	3.72	3.73	0.2	0.91
13	VZ	40.01	45.55	15.4	17.42	0.5	1.43
14	GM	41.35	65.94	11.44	15.51	-0.67	1.41
15	MGM	43.83	69.22	6.24	5.02	-0.61	1.32
16	BBWI	44.32	47.14	1.65	1.88	-1.09	1.56
17	EBAY	48.08	52.44	3.75	3.4	-0.64	1.4
18	ZION	52.51	52.06	1.08	1.42	-0.25	1.65
19	BALL	54.61	41.8	1.53	2.01	-0.76	1.89
20	PNR	55.21	59.12	2.04	1.69	-1.22	1.74
21	LVS	56.81	58.34	3.67	3.79	-1.23	1.67
22	BRO	58.25	46.6	0.76	1.08	-0.1	1.37
23	ACGL	64.22	57.13	2.0	1.77	0.19	1.27
24	JCI	64.59	43.35	2.23	3.67	-0.15	1.75
25	FTV	68.13	54.87	1.08	2.5	-0.13	1.81
26	CNC	72.74	40.35	4.95	5.59	1.65	1.98
27	TXT	73.78	56.52	1.17	1.16	-0.14	1.83
28	ATVI	75.45	50.23	6.92	14.68	0.25	1.84
29	CDAY	76.65	63.06	1.8	2.04	-0.84	2.98
30	APH	79.86	50.82	2.17	2.74	-0.57	1.91
31	ON	83.8	68.49	6.68	11.01	-1.12	3.55
32	RHI	84.67	58.98	1.62	0.83	2.38	2.62
33	GRMN	95.91	45.05	0.73	0.81	-0.34	2.22
34	AMZN	97.61	49.35	52.7	97.22	-0.64	4.24
35	MNST	102.8	53.13	1.17	1.86	-0.05	1.85
36	ABT	108.16	41.14	4.19	3.89	0.08	1.99
37	EA	111.8	27.32	2.9	3.7	0.01	2.81
38	AMAT	114.77	53.21	4.37	5.68	-1.13	4.38
39	QCOM	128.99	51.94	5.32	8.11	-1.18	4.71
40	FRC	135.45	49.68	1.98	1.63	-0.83	3.95
41	PKI	135.73	46.64	0.69	0.57	-0.75	4.4
42	PKG	139.92	56.13	0.55	0.68	-0.13	3.63
43	AAP	151.8	52.51	1.12	0.88	-0.07	3.92
44	TGT	170.02	55.67	1.84	2.31	-0.79	5.31
45	CDNS	183.8	57.84	1.17	1.26	-1.33	4.71
46	VMC	184.13	55.6	0.79	0.71	-0.52	3.8
47	EFX	206.16	41.17	0.68	1.14	-0.28	6.63
48	HII	221.33	48.27	0.49	0.57	0.4	5.44
49	DG	229.59	41.84	1.17	1.65	0.26	4.73
50	SHW	230.49	42.59	1.45	1.54	-0.44	7.81
51	NDSN	241.53	50.83	0.12	0.16	-0.16	5.88
52	ANSS	267.04	54.33	0.26	0.36	-1.61	7.71
53	BIIB	286.3	49.51	0.72	0.78	-0.24	6.21
54	SIVB	310.03	60.36	0.6	0.67	-1.86	16.5
55	ZBRA	313.46	53.98	0.34	0.41	-0.98	11.11
56	TYL	322.54	48.91	0.18	0.3	-1.37	12.27
57	COO	335.14	44.04	0.28	0.23	-0.14	8.7
58	MKTX	350.19	56.04	0.34	0.39	-0.6	12.07
59	MLM	351.24	48.54	0.36	0.28	-0.57	8.48
60	ADBE	370.99	55.07	1.85	2.49	-1.28	11.05
61	RE	379.48	70.06	0.31	0.39	0.27	10.93
62	ROP	427.4	43.56	0.46	0.49	-0.29	9.1
63	URI	448.65	70.28	0.49	0.62	-0.3	12.95
64	NOW	458.36	57.23	1.66	1.73	-1.07	17.32
65	IDXX	485.73	55.13	0.35	0.74	-0.21	16.55
66	MSCI	549.33	60.36	0.41	0.46	-1.13	16.7
67	GWW	656.49	67.99	0.39	0.34	-0.7	18.24
68	EQIX	729.75	57.05	0.28	0.33	-0.4	16.48
