	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	LUMN	3.96	28.28	34.66	64.01	-1.0	0.38
1	WBD	14.22	55.41	11.84	16.49	-1.04	0.69
2	HBAN	15.23	57.9	7.7	10.99	-0.2	0.33
3	PCG	15.54	45.13	12.45	14.16	0.52	0.29
4	KEY	19.44	58.17	7.78	8.92	-0.56	0.58
5	VFC	26.27	34.03	13.74	12.02	0.92	1.5
6	INTC	27.8	44.0	31.22	47.49	0.25	1.18
7	DXC	28.9	53.99	1.1	1.96	-0.86	0.91
8	OGN	29.02	42.4	1.42	1.04	-0.14	0.66
9	FOX	33.2	69.75	0.98	1.54	-0.03	0.79
10	WY	33.64	53.43	3.95	4.54	-0.5	0.86
11	LUV	34.57	40.4	4.81	5.2	-0.8	1.06
12	FOXA	35.81	71.33	3.72	3.73	0.2	0.91
13	FITB	37.17	61.46	3.99	4.55	-0.24	0.89
14	VZ	40.01	45.55	15.4	17.42	0.5	1.43
15	GM	41.35	65.94	11.44	15.51	-0.67	1.41
16	MGM	43.83	69.22	6.24	5.02	-0.61	1.32
17	BBWI	44.32	47.14	1.65	1.88	-1.09	1.56
18	TPR	44.44	56.21	3.8	5.48	-0.6	1.47
19	CARR	44.83	52.75	3.36	5.06	-0.2	1.26
20	WFC	47.51	66.74	18.93	18.1	-0.13	1.25
21	EBAY	48.08	52.44	3.75	3.4	-0.64	1.4
22	USB	48.7	57.2	5.36	5.81	-0.14	1.14
23	SEE	49.3	35.6	1.7	1.41	-1.48	1.45
24	BK	51.4	68.23	3.77	5.81	-0.33	0.93
25	ZION	52.51	52.06	1.08	1.42	-0.25	1.65
26	BALL	54.61	41.8	1.53	2.01	-0.76	1.89
27	MAS	55.06	62.16	4.49	2.51	1.96	1.81
28	KO	59.62	37.28	14.42	13.04	0.0	1.0
29	ACGL	64.22	57.13	2.0	1.77	0.19	1.27
30	JCI	64.59	43.35	2.23	3.67	-0.15	1.75
31	EQR	64.82	58.37	2.64	2.17	0.75	1.58
32	K	67.69	42.76	2.43	2.71	0.83	1.25
33	FTV	68.13	54.87	1.08	2.5	-0.13	1.81
34	CNC	72.74	40.35	4.95	5.59	1.65	1.98
35	ATVI	75.45	50.23	6.92	14.68	0.25	1.84
36	CDAY	76.65	63.06	1.8	2.04	-0.84	2.98
37	APH	79.86	50.82	2.17	2.74	-0.57	1.91
38	HOLX	81.86	51.92	1.6	1.63	-0.7	1.73
39	MDT	83.69	53.27	4.54	5.29	0.1	1.75
40	ON	83.8	68.49	6.68	11.01	-1.12	3.55
41	RHI	84.67	58.98	1.62	0.83	2.38	2.62
42	AKAM	85.5	42.22	1.25	1.09	-0.25	1.74
43	CBRE	87.3	59.19	1.5	1.41	-0.41	2.31
44	GRMN	95.91	45.05	0.73	0.81	-0.34	2.22
45	AMZN	97.61	49.35	52.7	97.22	-0.64	4.24
46	MNST	102.8	53.13	1.17	1.86	-0.05	1.85
47	ABT	108.16	41.14	4.19	3.89	0.08	1.99
48	EA	111.8	27.32	2.9	3.7	0.01	2.81
49	AMAT	114.77	53.21	4.37	5.68	-1.13	4.38
50	COF	115.39	57.77	1.67	2.64	-0.18	4.72
51	GNRC	116.66	52.4	0.88	1.18	-1.07	5.69
52	SWKS	119.61	66.33	2.11	3.08	-1.04	4.1
53	CINF	125.17	73.5	0.64	0.97	-0.86	3.68
54	ZBH	127.91	54.81	1.2	1.71	-0.3	2.53
55	QCOM	128.99	51.94	5.32	8.11	-1.18	4.71
56	YUM	131.31	58.71	1.58	2.26	0.11	2.31
57	FRC	135.45	49.68	1.98	1.63	-0.83	3.95
58	PKI	135.73	46.64	0.69	0.57	-0.75	4.4
59	PKG	139.92	56.13	0.55	0.68	-0.13	3.63
60	DRI	147.02	50.21	1.15	0.8	-0.5	2.5
61	CLX	150.51	58.0	1.21	2.24	0.28	3.84
62	AAP	151.8	52.51	1.12	0.88	-0.07	3.92
63	JNJ	162.15	31.31	7.02	7.04	0.46	3.02
64	FSLR	163.38	45.9	1.37	1.52	-0.34	8.01
65	CRM	167.03	59.63	11.27	7.24	-3.82	5.2
66	TGT	170.02	55.67	1.84	2.31	-0.79	5.31
67	MAA	171.37	61.17	0.62	0.85	-0.1	4.25
68	CDNS	183.8	57.84	1.17	1.26	-1.33	4.71
69	VMC	184.13	55.6	0.79	0.71	-0.52	3.8
70	STE	192.87	40.94	1.02	0.79	0.28	6.42
71	EFX	206.16	41.17	0.68	1.14	-0.28	6.63
72	BA	212.89	58.49	4.86	5.17	0.42	5.58
73	HII	221.33	48.27	0.49	0.57	0.4	5.44
74	DG	229.59	41.84	1.17	1.65	0.26	4.73
75	SHW	230.49	42.59	1.45	1.54	-0.44	7.81
76	NDSN	241.53	50.83	0.12	0.16	-0.16	5.88
77	AMGN	242.5	27.51	2.69	2.7	1.04	5.2
78	CRL	245.44	52.51	0.55	0.52	-1.75	8.23
79	ANSS	267.04	54.33	0.26	0.36	-1.61	7.71
80	BIIB	286.3	49.51	0.72	0.78	-0.24	6.21
81	SIVB	310.03	60.36	0.6	0.67	-1.86	16.5
82	ZBRA	313.46	53.98	0.34	0.41	-0.98	11.11
83	TYL	322.54	48.91	0.18	0.3	-1.37	12.27
84	COO	335.14	44.04	0.28	0.23	-0.14	8.7
85	ODFL	349.0	59.12	0.89	1.02	-1.69	12.81
86	MKTX	350.19	56.04	0.34	0.39	-0.6	12.07
87	MLM	351.24	48.54	0.36	0.28	-0.57	8.48
88	SNPS	359.11	57.94	0.59	0.81	-1.26	9.46
89	ADBE	370.99	55.07	1.85	2.49	-1.28	11.05
90	ROP	427.4	43.56	0.46	0.49	-0.29	9.1
91	URI	448.65	70.28	0.49	0.62	-0.3	12.95
92	NOW	458.36	57.23	1.66	1.73	-1.07	17.32
93	IDXX	485.73	55.13	0.35	0.74	-0.21	16.55
94	ULTA	515.75	61.89	0.71	0.45	-1.21	8.67
95	MSCI	549.33	60.36	0.41	0.46	-1.13	16.7
96	GWW	656.49	67.99	0.39	0.34	-0.7	18.24
97	EQIX	729.75	57.05	0.28	0.33	-0.4	16.48
98	CMG	1583.89	49.76	0.37	0.48	-1.43	47.43
