Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 12/06/2022 00:00:00 EST Put $393.00,SPY221206P00393000,Sell,Filled,1,1,@1.15,1.15,DAY,12/06/2022 14:26:09 EST,12/06/2022 14:28:34 EST
SPY 12/06/2022 00:00:00 EST Put $393.00,SPY221206P00393000,Buy,Filled,1,1,@0.960,0.960,DAY,12/06/2022 14:26:09 EST,12/06/2022 14:26:17 EST
SPY 12/06/2022 00:00:00 EST Put $393.00,SPY221206P00393000,Sell,Filled,1,1,@0.480,0.480,DAY,12/06/2022 13:47:55 EST,12/06/2022 13:48:48 EST
SPY 12/06/2022 00:00:00 EST Put $393.00,SPY221206P00393000,Buy,Filled,1,1,@0.540,0.540,DAY,12/06/2022 13:47:55 EST,12/06/2022 13:48:03 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Sell,Filled,1,1,@0.650,0.650,DAY,12/06/2022 12:39:03 EST,12/06/2022 12:41:06 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Buy,Filled,1,1,@0.730,0.730,DAY,12/06/2022 12:39:03 EST,12/06/2022 12:39:09 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Sell,Filled,1,1,@0.660,0.660,DAY,12/06/2022 12:31:01 EST,12/06/2022 12:33:20 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Buy,Filled,1,1,@0.700,0.700,DAY,12/06/2022 12:28:51 EST,12/06/2022 12:28:51 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Sell,Filled,1,1,@0.730,0.730,DAY,12/06/2022 12:21:38 EST,12/06/2022 12:23:27 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Buy,Filled,1,1,@0.820,0.820,DAY,12/06/2022 12:21:38 EST,12/06/2022 12:21:38 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Sell,Filled,1,1,@0.740,0.740,DAY,12/06/2022 12:20:40 EST,12/06/2022 12:21:09 EST
SPY 12/06/2022 00:00:00 EST Put $394.00,SPY221206P00394000,Buy,Filled,1,1,@0.830,0.830,DAY,12/06/2022 12:20:40 EST,12/06/2022 12:20:41 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@1.22,1.22,DAY,12/06/2022 12:11:36 EST,12/06/2022 12:16:39 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.980,0.980,DAY,12/06/2022 12:11:36 EST,12/06/2022 12:11:43 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.800,0.800,DAY,12/06/2022 11:58:47 EST,12/06/2022 12:01:50 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.830,0.830,DAY,12/06/2022 11:58:47 EST,12/06/2022 11:58:48 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.830,0.830,DAY,12/06/2022 11:57:02 EST,12/06/2022 11:57:07 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.930,0.930,DAY,12/06/2022 11:57:02 EST,12/06/2022 11:57:02 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.990,0.990,DAY,12/06/2022 11:52:10 EST,12/06/2022 11:54:33 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.860,0.860,DAY,12/06/2022 11:52:10 EST,12/06/2022 11:52:27 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.940,0.940,DAY,12/06/2022 11:38:29 EST,12/06/2022 11:40:22 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.780,0.780,DAY,12/06/2022 11:38:29 EST,12/06/2022 11:38:31 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.870,0.870,DAY,12/06/2022 11:06:04 EST,12/06/2022 11:11:01 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.980,0.980,DAY,12/06/2022 11:06:04 EST,12/06/2022 11:06:18 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.920,0.920,DAY,12/06/2022 10:54:16 EST,12/06/2022 11:00:32 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.780,0.780,DAY,12/06/2022 10:46:37 EST,12/06/2022 10:46:37 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Sell,Filled,1,1,@1.48,1.48,DAY,12/06/2022 10:37:24 EST,12/06/2022 10:38:15 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Buy,Filled,1,1,@1.23,1.23,DAY,12/06/2022 10:37:24 EST,12/06/2022 10:37:25 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Sell,Filled,1,1,@1.26,1.26,DAY,12/06/2022 10:35:48 EST,12/06/2022 10:36:38 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Buy,Filled,1,1,@1.37,1.37,DAY,12/06/2022 10:35:48 EST,12/06/2022 10:35:50 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Sell,Filled,1,1,@1.18,1.18,DAY,12/06/2022 10:30:41 EST,12/06/2022 10:33:44 EST
SPY 12/06/2022 00:00:00 EST Put $396.00,SPY221206P00396000,Buy,Filled,1,1,@1.04,1.04,DAY,12/06/2022 10:28:11 EST,12/06/2022 10:28:11 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.650,0.650,DAY,12/06/2022 10:22:22 EST,12/06/2022 10:23:18 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.670,0.670,DAY,12/06/2022 10:22:22 EST,12/06/2022 10:23:18 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.650,0.650,DAY,12/06/2022 10:17:32 EST,12/06/2022 10:19:57 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.730,0.730,DAY,12/06/2022 10:17:32 EST,12/06/2022 10:17:34 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.700,0.700,DAY,12/06/2022 10:13:28 EST,12/06/2022 10:15:09 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.770,0.770,DAY,12/06/2022 10:11:06 EST,12/06/2022 10:11:06 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Sell,Filled,1,1,@0.670,0.670,DAY,12/06/2022 10:02:09 EST,12/06/2022 10:03:18 EST
SPY 12/06/2022 00:00:00 EST Put $395.00,SPY221206P00395000,Buy,Filled,1,1,@0.500,0.500,DAY,12/06/2022 10:02:09 EST,12/06/2022 10:02:09 EST
SPY 12/06/2022 00:00:00 EST Put $398.00,SPY221206P00398000,Sell,Filled,1,1,@1.33,1.33,DAY,12/06/2022 09:55:44 EST,12/06/2022 09:56:21 EST
SPY 12/06/2022 00:00:00 EST Put $398.00,SPY221206P00398000,Buy,Filled,1,1,@1.14,1.14,DAY,12/06/2022 09:51:21 EST,12/06/2022 09:51:35 EST
SPY 12/06/2022 00:00:00 EST Call $400.00,SPY221206C00400000,Sell,Filled,1,1,@0.980,0.980,DAY,12/06/2022 09:35:45 EST,12/06/2022 09:35:49 EST
SPY 12/06/2022 00:00:00 EST Call $400.00,SPY221206C00400000,Buy,Filled,1,1,@1.05,1.05,DAY,12/06/2022 09:35:45 EST,12/06/2022 09:35:47 EST
