Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
NVDA 09/01/2023 00:00:00 EDT Call $520.00,NVDA230901C00520000,Sell,Filled,1,1,@0.130,0.130,DAY,08/31/2023 15:53:07 EDT,08/31/2023 15:55:10 EDT
TSLA 09/01/2023 00:00:00 EDT Put $240.00,TSLA230901P00240000,Sell,Filled,1,1,0.070,0.070,DAY,08/31/2023 12:58:05 EDT,08/31/2023 12:58:05 EDT
TSLA 09/01/2023 00:00:00 EDT Put $240.00,TSLA230901P00240000,Buy,Filled,1,1,@0.090,0.090,DAY,08/31/2023 12:52:12 EDT,08/31/2023 12:52:12 EDT
NVDA 09/01/2023 00:00:00 EDT Call $520.00,NVDA230901C00520000,Buy,Filled,1,1,@0.170,0.170,DAY,08/31/2023 12:43:29 EDT,08/31/2023 12:43:29 EDT
QQQ 08/31/2023 00:00:00 EDT Call $378.00,QQQ230831C00378000,Sell,Filled,1,1,@0.840,0.840,DAY,08/31/2023 12:38:47 EDT,08/31/2023 12:39:08 EDT
QQQ 08/31/2023 00:00:00 EDT Call $378.00,QQQ230831C00378000,Buy,Filled,1,1,@0.800,0.800,DAY,08/31/2023 12:36:41 EDT,08/31/2023 12:37:00 EDT
QQQ 08/31/2023 00:00:00 EDT Put $378.00,QQQ230831P00378000,Sell,Filled,1,1,@0.880,0.880,DAY,08/31/2023 12:34:09 EDT,08/31/2023 12:34:30 EDT
QQQ 08/31/2023 00:00:00 EDT Put $378.00,QQQ230831P00378000,Buy,Filled,1,1,@0.900,0.900,DAY,08/31/2023 12:30:03 EDT,08/31/2023 12:30:49 EDT
QQQ 08/31/2023 00:00:00 EDT Put $378.00,QQQ230831P00378000,Sell,Filled,1,1,@0.870,0.870,DAY,08/31/2023 12:21:36 EDT,08/31/2023 12:22:44 EDT
QQQ 08/31/2023 00:00:00 EDT Put $378.00,QQQ230831P00378000,Buy,Filled,1,1,@0.740,0.740,DAY,08/31/2023 12:20:26 EDT,08/31/2023 12:20:27 EDT
NVDA 09/01/2023 00:00:00 EDT Put $495.00,NVDA230901P00495000,Sell,Filled,1,1,@5.55,5.55,DAY,08/31/2023 12:03:07 EDT,08/31/2023 12:18:44 EDT
NVDA 09/01/2023 00:00:00 EDT Put $495.00,NVDA230901P00495000,Buy,Filled,1,1,@4.90,4.90,DAY,08/31/2023 12:02:40 EDT,08/31/2023 12:02:40 EDT
TSLA 09/01/2023 00:00:00 EDT Call $260.00,TSLA230901C00260000,Sell,Filled,1,1,@2.29,2.29,DAY,08/31/2023 11:50:44 EDT,08/31/2023 12:03:09 EDT
TSLA 09/01/2023 00:00:00 EDT Call $260.00,TSLA230901C00260000,Buy,Filled,1,1,@2.99,2.99,DAY,08/31/2023 11:47:51 EDT,08/31/2023 11:47:51 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Sell,Filled,1,1,@3.20,3.20,DAY,08/31/2023 11:36:07 EDT,08/31/2023 11:44:34 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Buy,Filled,1,1,@3.00,3.00,DAY,08/31/2023 11:32:02 EDT,08/31/2023 11:34:11 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Sell,Filled,1,1,@3.15,3.15,DAY,08/31/2023 11:26:09 EDT,08/31/2023 11:28:22 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Buy,Filled,1,1,@3.00,3.00,DAY,08/31/2023 11:23:20 EDT,08/31/2023 11:23:48 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Sell,Filled,2,2,@3.20,3.20,DAY,08/31/2023 11:09:54 EDT,08/31/2023 11:11:43 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Buy,Filled,1,1,@3.00,3.00,DAY,08/31/2023 10:54:27 EDT,08/31/2023 10:55:05 EDT
NVDA 09/01/2023 00:00:00 EDT Call $495.00,NVDA230901C00495000,Sell,Filled,1,1,@5.61,5.61,DAY,08/31/2023 10:13:29 EDT,08/31/2023 10:14:04 EDT
NVDA 09/01/2023 00:00:00 EDT Call $495.00,NVDA230901C00495000,Buy,Filled,1,1,@5.55,5.55,DAY,08/31/2023 10:08:36 EDT,08/31/2023 10:09:41 EDT
NVDA 09/01/2023 00:00:00 EDT Call $500.00,NVDA230901C00500000,Buy,Filled,1,1,@4.45,4.45,DAY,08/31/2023 09:53:52 EDT,08/31/2023 10:00:59 EDT
