TICKER	CP	EMA8	RSI	SMA5	SMA50	SMA200	VOL	AVGVOL	%CHG	ATR	SECTOR	IPO	CATEGORY	%ATR	YAHOO
IONQ	16.19	15.05	68.5	15.03	11.63	6.67	9.83	7.72	6.37	1.27	Industrials	2021.0	small	7.84	https://finance.yahoo.com/quote/IONQ?p=IONQ&.tsrc=fin-srch
KD	13.37	13.11	55.91	13.07	12.88	12.7	1.25	1.07	0.45	0.36	Technology	2021.0	medium	2.69	https://finance.yahoo.com/quote/KD?p=KD&.tsrc=fin-srch
TENB	48.24	44.27	75.23	44.17	41.37	40.33	4.01	1.63	10.19	1.57	Technology	2018.0	medium	3.25	https://finance.yahoo.com/quote/TENB?p=TENB&.tsrc=fin-srch
TDW	60.09	59.04	69.26	58.95	50.83	41.57	0.97	0.83	1.33	2.27	Consumer_Discretionary	2017.0	medium	3.78	https://finance.yahoo.com/quote/TDW?p=TDW&.tsrc=fin-srch
HOUS	9.04	7.92	74.55	7.95	6.57	6.69	3.18	1.75	4.99	0.45	Finance	2012.0	small	4.98	https://finance.yahoo.com/quote/HOUS?p=HOUS&.tsrc=fin-srch
QLYS	139.0	133.44	69.7	133.78	127.17	121.98	0.52	0.34	3.44	3.19	Technology	2012.0	medium	2.29	https://finance.yahoo.com/quote/QLYS?p=QLYS&.tsrc=fin-srch
NATI	58.82	57.2	70.68	57.02	57.41	49.66	4.85	2.4	1.5	0.55	Technology	1995.0	medium	0.94	https://finance.yahoo.com/quote/NATI?p=NATI&.tsrc=fin-srch
ONB	17.25	15.91	81.12	16.1	13.91	16.08	5.67	3.5	7.01	0.46	Finance	0.0	medium	2.67	https://finance.yahoo.com/quote/ONB?p=ONB&.tsrc=fin-srch
WW	11.54	9.28	80.27	9.29	7.46	5.45	13.24	6.3	16.21	0.77	Consumer_Discretionary	0.0	small	6.67	https://finance.yahoo.com/quote/WW?p=WW&.tsrc=fin-srch
TROX	14.84	14.53	68.99	14.65	12.65	13.8	2.05	1.32	0.54	0.45	Industrials	0.0	small	3.03	https://finance.yahoo.com/quote/TROX?p=TROX&.tsrc=fin-srch
NR	5.52	5.41	71.59	5.43	4.64	4.19	1.14	0.78	0.36	0.17	Industrials	0.0	small	3.08	https://finance.yahoo.com/quote/NR?p=NR&.tsrc=fin-srch
RUSHA	65.25	63.11	76.43	63.45	58.36	53.85	0.51	0.26	2.53	1.54	Consumer_Discretionary	0.0	medium	2.36	https://finance.yahoo.com/quote/RUSHA?p=RUSHA&.tsrc=fin-srch
R	98.62	92.42	82.68	93.2	83.95	86.45	0.92	0.41	7.44	1.97	Consumer_Discretionary	0.0	medium	2.0	https://finance.yahoo.com/quote/R?p=R&.tsrc=fin-srch
ORI	27.2	26.49	77.46	26.74	25.22	24.71	2.29	1.86	1.64	0.37	Finance	0.0	medium	1.36	https://finance.yahoo.com/quote/ORI?p=ORI&.tsrc=fin-srch
NLY	20.8	20.38	61.47	20.4	19.78	20.11	4.1	3.54	1.07	0.42	Real_Estate	0.0	medium	2.02	https://finance.yahoo.com/quote/NLY?p=NLY&.tsrc=fin-srch
HL	5.96	5.87	62.16	5.87	5.41	5.51	4.73	4.33	1.36	0.19	Industrials	0.0	medium	3.19	https://finance.yahoo.com/quote/HL?p=HL&.tsrc=fin-srch
FBIN	75.77	73.54	67.7	73.2	68.08	60.39	1.9	1.27	2.25	1.57	Basic_Materials	0.0	medium	2.07	https://finance.yahoo.com/quote/FBIN?p=FBIN&.tsrc=fin-srch
ATI	46.96	45.92	67.44	46.02	40.82	36.07	1.08	0.79	1.47	1.29	Industrials	0.0	medium	2.75	https://finance.yahoo.com/quote/ATI?p=ATI&.tsrc=fin-srch
AJRD	57.18	56.3	72.11	56.44	55.11	54.06	5.13	1.62	1.11	0.56	Industrials	0.0	medium	0.98	https://finance.yahoo.com/quote/AJRD?p=AJRD&.tsrc=fin-srch
