Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Sell,Filled,1,1,@1.38,1.38,DAY,12/21/2022 13:19:39 EST,12/21/2022 13:27:02 EST
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Buy,Filled,1,1,@1.13,1.13,DAY,12/21/2022 13:19:39 EST,12/21/2022 13:19:59 EST
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Sell,Filled,1,1,@0.960,0.960,DAY,12/21/2022 13:12:46 EST,12/21/2022 13:14:24 EST
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Buy,Filled,1,1,@0.940,0.940,DAY,12/21/2022 13:12:46 EST,12/21/2022 13:13:04 EST
SPY 12/21/2022 00:00:00 EST Call $387.00,SPY221221C00387000,Sell,Filled,1,1,@0.560,0.560,DAY,12/21/2022 13:04:08 EST,12/21/2022 13:11:05 EST
SPY 12/21/2022 00:00:00 EST Call $387.00,SPY221221C00387000,Buy,Filled,1,1,@0.580,0.580,DAY,12/21/2022 13:04:08 EST,12/21/2022 13:05:28 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@0.970,0.970,DAY,12/21/2022 12:10:24 EST,12/21/2022 12:12:16 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@1.05,1.05,DAY,12/21/2022 12:10:24 EST,12/21/2022 12:11:58 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@1.04,1.04,DAY,12/21/2022 12:00:29 EST,12/21/2022 12:02:57 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@0.980,0.980,DAY,12/21/2022 12:00:29 EST,12/21/2022 12:00:30 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@1.03,1.03,DAY,12/21/2022 11:50:50 EST,12/21/2022 11:54:10 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@1.01,1.01,DAY,12/21/2022 11:50:50 EST,12/21/2022 11:51:52 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@0.960,0.960,DAY,12/21/2022 11:49:25 EST,12/21/2022 11:50:21 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@1.05,1.05,DAY,12/21/2022 11:49:25 EST,12/21/2022 11:50:03 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@0.870,0.870,DAY,12/21/2022 11:40:58 EST,12/21/2022 11:42:44 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@0.940,0.940,DAY,12/21/2022 11:40:58 EST,12/21/2022 11:41:00 EST
SPY 12/21/2022 00:00:00 EST Call $386.00,SPY221221C00386000,Sell,Filled,1,1,@1.30,1.30,DAY,12/21/2022 11:30:21 EST,12/21/2022 11:33:41 EST
SPY 12/21/2022 00:00:00 EST Call $386.00,SPY221221C00386000,Buy,Filled,1,1,@1.29,1.29,DAY,12/21/2022 11:30:21 EST,12/21/2022 11:30:21 EST
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Sell,Filled,1,1,@1.15,1.15,DAY,12/21/2022 11:16:32 EST,12/21/2022 11:20:40 EST
SPY 12/21/2022 00:00:00 EST Put $387.00,SPY221221P00387000,Buy,Filled,1,1,@1.08,1.08,DAY,12/21/2022 11:16:32 EST,12/21/2022 11:16:48 EST
SPY 12/21/2022 00:00:00 EST Call $386.00,SPY221221C00386000,Sell,Filled,1,1,@1.21,1.21,DAY,12/21/2022 10:56:26 EST,12/21/2022 10:56:28 EST
SPY 12/21/2022 00:00:00 EST Call $386.00,SPY221221C00386000,Buy,Filled,1,1,@1.27,1.27,DAY,12/21/2022 10:56:26 EST,12/21/2022 10:56:26 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@0.940,0.940,DAY,12/21/2022 10:53:01 EST,12/21/2022 10:55:12 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@1.02,1.02,DAY,12/21/2022 10:53:01 EST,12/21/2022 10:53:17 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Sell,Filled,1,1,@0.970,0.970,DAY,12/21/2022 10:47:37 EST,12/21/2022 10:49:50 EST
SPY 12/21/2022 00:00:00 EST Put $386.00,SPY221221P00386000,Buy,Filled,1,1,@1.01,1.01,DAY,12/21/2022 10:47:37 EST,12/21/2022 10:47:39 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Sell,Filled,1,1,@1.52,1.52,DAY,12/21/2022 10:35:19 EST,12/21/2022 10:35:57 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Buy,Filled,1,1,@1.61,1.61,DAY,12/21/2022 10:35:19 EST,12/21/2022 10:35:20 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Sell,Filled,1,1,@1.09,1.09,DAY,12/21/2022 10:24:33 EST,12/21/2022 10:28:19 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Buy,Filled,1,1,@0.910,0.910,DAY,12/21/2022 10:24:33 EST,12/21/2022 10:25:19 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Sell,Filled,1,1,@0.920,0.920,DAY,12/21/2022 10:20:08 EST,12/21/2022 10:20:59 EST
SPY 12/21/2022 00:00:00 EST Call $385.00,SPY221221C00385000,Buy,Filled,1,1,@0.890,0.890,DAY,12/21/2022 10:20:08 EST,12/21/2022 10:20:22 EST
SPY 12/21/2022 00:00:00 EST Put $384.00,SPY221221P00384000,Sell,Filled,1,1,@0.850,0.850,DAY,12/21/2022 10:17:55 EST,12/21/2022 10:18:17 EST
SPY 12/21/2022 00:00:00 EST Put $384.00,SPY221221P00384000,Buy,Filled,1,1,@0.930,0.930,DAY,12/21/2022 10:17:55 EST,12/21/2022 10:17:56 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Sell,Filled,1,1,@1.38,1.38,DAY,12/21/2022 10:07:32 EST,12/21/2022 10:09:06 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Buy,Filled,1,1,@1.33,1.33,DAY,12/21/2022 10:07:32 EST,12/21/2022 10:07:36 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Sell,Filled,1,1,@0.790,0.790,DAY,12/21/2022 10:05:14 EST,12/21/2022 10:05:29 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Buy,Filled,1,1,@0.850,0.850,DAY,12/21/2022 10:05:14 EST,12/21/2022 10:05:14 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Sell,Filled,1,1,@1.09,1.09,DAY,12/21/2022 09:54:20 EST,12/21/2022 09:55:45 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Buy,Filled,1,1,@1.00,1.00,DAY,12/21/2022 09:54:20 EST,12/21/2022 09:54:20 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Sell,Filled,1,1,@0.820,0.820,DAY,12/21/2022 09:52:26 EST,12/21/2022 09:52:33 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Buy,Filled,1,1,@0.870,0.870,DAY,12/21/2022 09:52:26 EST,12/21/2022 09:52:26 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Sell,Filled,1,1,@1.08,1.08,DAY,12/21/2022 09:48:35 EST,12/21/2022 09:50:11 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Buy,Filled,1,1,@1.13,1.13,DAY,12/21/2022 09:48:35 EST,12/21/2022 09:48:48 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Sell,Filled,1,1,@1.22,1.22,DAY,12/21/2022 09:41:11 EST,12/21/2022 09:42:24 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Buy,Filled,1,1,@1.28,1.28,DAY,12/21/2022 09:41:11 EST,12/21/2022 09:41:12 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Sell,Filled,1,1,@0.930,0.930,DAY,12/21/2022 09:38:26 EST,12/21/2022 09:40:03 EST
SPY 12/21/2022 00:00:00 EST Call $384.00,SPY221221C00384000,Buy,Filled,1,1,@0.920,0.920,DAY,12/21/2022 09:38:26 EST,12/21/2022 09:38:26 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Sell,Filled,1,1,@1.27,1.27,DAY,12/21/2022 09:34:45 EST,12/21/2022 09:37:55 EST
SPY 12/21/2022 00:00:00 EST Put $383.00,SPY221221P00383000,Buy,Filled,1,1,@1.38,1.38,DAY,12/21/2022 09:34:45 EST,12/21/2022 09:34:45 EST
