Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 02/06/2023 00:00:00 EST Put $408.00,SPY230206P00408000,Buy,Filled,1,1,@0.390,0.390,DAY,02/06/2023 11:13:54 EST,02/06/2023 11:14:39 EST
SPY 02/06/2023 00:00:00 EST Put $410.00,SPY230206P00410000,Sell,Filled,1,1,@0.980,0.980,DAY,02/06/2023 11:01:23 EST,02/06/2023 11:05:56 EST
SPY 02/06/2023 00:00:00 EST Put $410.00,SPY230206P00410000,Buy,Filled,1,1,@1.03,1.03,DAY,02/06/2023 11:01:23 EST,02/06/2023 11:01:29 EST
SPY 02/06/2023 00:00:00 EST Call $410.00,SPY230206C00410000,Sell,Filled,1,1,@1.18,1.18,DAY,02/06/2023 10:56:44 EST,02/06/2023 11:00:57 EST
SPY 02/06/2023 00:00:00 EST Call $410.00,SPY230206C00410000,Buy,Filled,1,1,@1.25,1.25,DAY,02/06/2023 10:56:44 EST,02/06/2023 10:58:13 EST
SPY 02/06/2023 00:00:00 EST Put $410.00,SPY230206P00410000,Sell,Filled,1,1,@1.03,1.03,DAY,02/06/2023 10:54:40 EST,02/06/2023 10:56:02 EST
SPY 02/06/2023 00:00:00 EST Put $410.00,SPY230206P00410000,Buy,Filled,1,1,@1.08,1.08,DAY,02/06/2023 10:54:40 EST,02/06/2023 10:54:49 EST
SPY 02/06/2023 00:00:00 EST Call $410.00,SPY230206C00410000,Sell,Filled,1,1,@1.18,1.18,DAY,02/06/2023 10:52:48 EST,02/06/2023 10:54:13 EST
SPY 02/06/2023 00:00:00 EST Call $410.00,SPY230206C00410000,Buy,Filled,1,1,@1.23,1.23,DAY,02/06/2023 10:52:48 EST,02/06/2023 10:52:49 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Sell,Filled,1,1,@1.27,1.27,DAY,02/06/2023 10:47:08 EST,02/06/2023 10:48:43 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Buy,Filled,1,1,@1.28,1.28,DAY,02/06/2023 10:47:08 EST,02/06/2023 10:47:10 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Sell,Filled,1,1,@1.10,1.10,DAY,02/06/2023 10:45:51 EST,02/06/2023 10:46:17 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Buy,Filled,1,1,@1.21,1.21,DAY,02/06/2023 10:45:51 EST,02/06/2023 10:45:51 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Sell,Filled,1,1,@1.13,1.13,DAY,02/06/2023 10:42:12 EST,02/06/2023 10:45:12 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Buy,Filled,1,1,@1.27,1.27,DAY,02/06/2023 10:42:12 EST,02/06/2023 10:42:15 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Sell,Filled,1,1,@1.12,1.12,DAY,02/06/2023 10:38:30 EST,02/06/2023 10:39:10 EST
SPY 02/06/2023 00:00:00 EST Call $409.00,SPY230206C00409000,Buy,Filled,1,1,@1.18,1.18,DAY,02/06/2023 10:38:30 EST,02/06/2023 10:38:31 EST
SPY 02/06/2023 00:00:00 EST Put $408.00,SPY230206P00408000,Sell,Filled,1,1,@0.820,0.820,DAY,02/06/2023 10:36:30 EST,02/06/2023 10:37:24 EST
SPY 02/06/2023 00:00:00 EST Put $408.00,SPY230206P00408000,Buy,Filled,1,1,@0.910,0.910,DAY,02/06/2023 10:36:30 EST,02/06/2023 10:36:30 EST
SPY 02/06/2023 00:00:00 EST Put $408.00,SPY230206P00408000,Sell,Filled,1,1,@0.970,0.970,DAY,02/06/2023 10:33:13 EST,02/06/2023 10:34:01 EST
SPY 02/06/2023 00:00:00 EST Put $408.00,SPY230206P00408000,Buy,Filled,1,1,@1.09,1.09,DAY,02/06/2023 10:33:13 EST,02/06/2023 10:33:17 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Sell,Filled,1,1,@1.44,1.44,DAY,02/06/2023 10:30:40 EST,02/06/2023 10:31:53 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Buy,Filled,1,1,@1.40,1.40,DAY,02/06/2023 10:30:40 EST,02/06/2023 10:30:41 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Sell,Filled,1,1,@1.31,1.31,DAY,02/06/2023 10:26:55 EST,02/06/2023 10:29:08 EST
SPY 02/06/2023 00:00:00 EST Put $409.00,SPY230206P00409000,Buy,Filled,1,1,@1.27,1.27,DAY,02/06/2023 10:26:55 EST,02/06/2023 10:26:55 EST
