Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 01/17/2023 00:00:00 EST Put $396.00,SPY230117P00396000,Sell,Filled,1,1,@0.280,0.280,DAY,01/17/2023 11:26:50 EST,01/17/2023 11:28:30 EST
SPY 01/17/2023 00:00:00 EST Put $396.00,SPY230117P00396000,Buy,Filled,1,1,@0.370,0.370,DAY,01/17/2023 11:26:50 EST,01/17/2023 11:26:50 EST
SPY 01/17/2023 00:00:00 EST Put $399.00,SPY230117P00399000,Sell,Filled,1,1,@1.67,1.67,DAY,01/17/2023 10:37:23 EST,01/17/2023 10:43:49 EST
SPY 01/17/2023 00:00:00 EST Put $399.00,SPY230117P00399000,Buy,Filled,1,1,@0.920,0.920,DAY,01/17/2023 10:37:23 EST,01/17/2023 10:37:23 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Sell,Filled,1,1,@0.610,0.610,DAY,01/17/2023 10:36:15 EST,01/17/2023 10:36:48 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Buy,Filled,1,1,@0.690,0.690,DAY,01/17/2023 10:36:15 EST,01/17/2023 10:36:19 EST
SPY 01/17/2023 00:00:00 EST Put $399.00,SPY230117P00399000,Sell,Filled,1,1,@0.830,0.830,DAY,01/17/2023 10:30:43 EST,01/17/2023 10:33:21 EST
SPY 01/17/2023 00:00:00 EST Put $399.00,SPY230117P00399000,Buy,Filled,1,1,@0.720,0.720,DAY,01/17/2023 10:30:43 EST,01/17/2023 10:30:43 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Sell,Filled,1,1,@1.15,1.15,DAY,01/17/2023 10:27:26 EST,01/17/2023 10:29:55 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Buy,Filled,1,1,@1.08,1.08,DAY,01/17/2023 10:27:26 EST,01/17/2023 10:27:26 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Sell,Filled,1,1,@0.950,0.950,DAY,01/17/2023 10:25:40 EST,01/17/2023 10:27:15 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Buy,Filled,1,1,@1.02,1.02,DAY,01/17/2023 10:25:40 EST,01/17/2023 10:25:40 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Sell,Filled,1,1,@0.990,0.990,DAY,01/17/2023 10:23:25 EST,01/17/2023 10:23:36 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Buy,Filled,1,1,@1.05,1.05,DAY,01/17/2023 10:23:25 EST,01/17/2023 10:23:26 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Sell,Filled,1,1,@1.00,1.00,DAY,01/17/2023 10:19:04 EST,01/17/2023 10:22:44 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Buy,Filled,1,1,@0.940,0.940,DAY,01/17/2023 10:19:04 EST,01/17/2023 10:19:05 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Sell,Filled,1,1,@1.05,1.05,DAY,01/17/2023 10:18:29 EST,01/17/2023 10:18:44 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Buy,Filled,1,1,@1.11,1.11,DAY,01/17/2023 10:18:29 EST,01/17/2023 10:18:36 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Sell,Filled,1,1,@1.20,1.20,DAY,01/17/2023 10:16:27 EST,01/17/2023 10:17:39 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Buy,Filled,1,1,@1.26,1.26,DAY,01/17/2023 10:16:27 EST,01/17/2023 10:16:27 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Sell,Filled,1,1,@1.17,1.17,DAY,01/17/2023 10:14:42 EST,01/17/2023 10:15:07 EST
SPY 01/17/2023 00:00:00 EST Put $400.00,SPY230117P00400000,Buy,Filled,1,1,@1.23,1.23,DAY,01/17/2023 10:14:42 EST,01/17/2023 10:14:42 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Sell,Filled,1,1,@0.960,0.960,DAY,01/17/2023 10:09:56 EST,01/17/2023 10:11:34 EST
SPY 01/17/2023 00:00:00 EST Call $400.00,SPY230117C00400000,Buy,Filled,1,1,@0.960,0.960,DAY,01/17/2023 10:06:15 EST,01/17/2023 10:06:16 EST
