Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
QQQ 06/16/2023 00:00:00 EDT Put $369.00,QQQ230616P00369000,Sell,Filled,1,1,@0.590,0.590,DAY,06/16/2023 15:00:01 EDT,06/16/2023 15:00:05 EDT
QQQ 06/16/2023 00:00:00 EDT Put $369.00,QQQ230616P00369000,Buy,Filled,1,1,@0.500,0.500,DAY,06/16/2023 14:49:29 EDT,06/16/2023 14:58:31 EDT
QQQ 06/16/2023 00:00:00 EDT Put $369.00,QQQ230616P00369000,Sell,Filled,1,1,@0.490,0.490,DAY,06/16/2023 14:47:46 EDT,06/16/2023 14:48:52 EDT
QQQ 06/16/2023 00:00:00 EDT Put $369.00,QQQ230616P00369000,Buy,Filled,1,1,@0.480,0.480,DAY,06/16/2023 14:33:57 EDT,06/16/2023 14:34:07 EDT
QQQ 06/16/2023 00:00:00 EDT Call $370.00,QQQ230616C00370000,Sell,Filled,1,1,@0.410,0.410,DAY,06/16/2023 14:29:19 EDT,06/16/2023 14:31:00 EDT
QQQ 06/16/2023 00:00:00 EDT Call $370.00,QQQ230616C00370000,Buy,Filled,1,1,@0.470,0.470,DAY,06/16/2023 14:29:19 EDT,06/16/2023 14:30:35 EDT
QQQ 06/16/2023 00:00:00 EDT Call $370.00,QQQ230616C00370000,Sell,Filled,1,1,@0.530,0.530,DAY,06/16/2023 14:26:45 EDT,06/16/2023 14:28:44 EDT
QQQ 06/16/2023 00:00:00 EDT Call $370.00,QQQ230616C00370000,Buy,Filled,1,1,@0.510,0.510,DAY,06/16/2023 14:26:45 EDT,06/16/2023 14:27:44 EDT
QQQ 06/16/2023 00:00:00 EDT Put $370.00,QQQ230616P00370000,Sell,Filled,1,1,@0.750,0.750,DAY,06/16/2023 14:23:08 EDT,06/16/2023 14:24:01 EDT
QQQ 06/16/2023 00:00:00 EDT Put $370.00,QQQ230616P00370000,Buy,Filled,1,1,@0.750,0.750,DAY,06/16/2023 14:21:13 EDT,06/16/2023 14:21:55 EDT
QQQ 06/16/2023 00:00:00 EDT Put $370.00,QQQ230616P00370000,Sell,Filled,1,1,@0.740,0.740,DAY,06/16/2023 14:14:08 EDT,06/16/2023 14:19:39 EDT
