TICKER,CP,RSI,VOL,AVGVOL,%CHG,ATR,%ATR,SECTOR,IPO,COUNTRY,CATEGORY
CRWD,120.05,37.92,5.19,3.83,-4.76,4.84,4.03,Technology,2019.0,United States,large
DDOG,67.38,48.16,6.43,6.59,-4.03,3.37,5.0,Technology,2019.0,United States,large
TMUS,143.9,41.77,9.43,6.11,-4.03,2.48,1.72,Telecommunications,0.0,United States,large
AMZN,105.45,55.38,130.56,97.79,-3.98,3.44,3.26,Consumer_Discretionary,1997.0,United States,mega
TEAM,147.66,41.42,1.98,1.69,-3.97,7.94,5.38,Technology,2015.0,Australia,large
ZS,90.1,27.69,4.3,3.02,-3.55,4.31,4.78,Technology,2018.0,United States,large
LCID,7.94,51.96,15.77,22.34,-2.82,0.53,6.68,Consumer_Discretionary,0.0,United States,large
KDP,32.7,26.11,19.26,12.63,-2.5,0.62,1.9,Consumer_Staples,0.0,United States,large
DXCM,121.34,56.62,3.9,2.88,-1.81,3.07,2.53,Health_Care,2005.0,United States,large
GILD,82.21,45.5,10.71,7.16,-1.6,1.55,1.89,Health_Care,1992.0,United States,large
PANW,182.46,37.97,3.99,2.98,-1.44,4.41,2.42,Technology,0.0,United States,large
KHC,39.27,52.74,7.06,5.98,-1.03,0.49,1.25,Consumer_Staples,0.0,United States,large
EXC,42.44,49.73,11.35,6.24,-0.79,0.67,1.58,Utilities,0.0,United States,large
AZN,73.22,55.8,4.25,4.33,-0.76,1.11,1.52,Health_Care,0.0,United Kingdom,mega
WDAY,186.14,42.38,1.11,1.59,-0.53,4.76,2.56,Technology,0.0,United States,large
XEL,69.91,53.76,2.28,2.37,-0.5,1.24,1.77,Utilities,0.0,United States,large
AEP,92.42,49.76,2.62,2.09,-0.42,1.51,1.63,Utilities,0.0,United States,large
SGEN,200.0,51.26,1.66,1.45,-0.38,1.69,0.84,Health_Care,2001.0,United States,large
ANSS,313.92,46.94,0.49,0.38,-0.34,5.48,1.75,Technology,1996.0,United States,large
CSGP,76.95,72.43,3.08,3.18,-0.29,1.66,2.16,Finance,1998.0,United States,large
AMGN,239.74,43.01,2.72,2.0,-0.25,4.03,1.68,Health_Care,1983.0,United States,large
GOOGL,107.34,58.72,36.12,41.95,-0.23,2.79,2.6,Technology,2004.0,United States,mega
FAST,53.84,54.13,4.34,3.56,-0.19,1.18,2.19,Basic_Materials,1987.0,United States,large
GOOG,108.22,59.37,23.95,30.41,-0.14,2.75,2.54,Technology,2004.0,United States,mega
FTNT,63.05,40.38,5.6,4.58,-0.02,1.48,2.35,Technology,2009.0,United States,large
ENPH,164.2,29.4,7.87,10.0,0.01,12.36,7.53,Technology,2012.0,United States,large
ATVI,77.71,31.0,9.82,18.74,0.13,1.38,1.78,Consumer_Discretionary,0.0,United States,large
ORLY,917.31,69.82,0.36,0.42,0.18,13.87,1.51,Consumer_Discretionary,1993.0,United States,large
DLTR,153.71,63.3,1.2,1.46,0.22,2.74,1.78,Consumer_Discretionary,1995.0,United States,large
ZM,61.43,32.68,4.25,5.91,0.23,2.44,3.97,Technology,2019.0,United States,large
